"","X","Lat","Long","loc","unique"
"1",1,60,-95," , ",FALSE
"4",4,41.0877,-73.7768,"Valhalla , NY",FALSE
"5",5,40.4495,-79.988,"Pittsburgh , PA",FALSE
"6",6,38.7667,-90.4201,"Bridgeton , MO",FALSE
"7",7,37.7312,-122.3826,"San Francisco , CA",FALSE
"8",8,40.7528,-73.9725,"New York , NY",FALSE
"9",9,41.9491,-79.4448,"Bear Lake , PA",FALSE
"10",10,40.5516,-74.4637,"Piscataway , NJ",FALSE
"11",11,42.5669,-77.1325,"Keuka Park , NY",FALSE
"12",12,42.8509,-72.5579,"Brattleboro , VT",FALSE
"13",13,42.4585,-71.2752,"Hanscom Afb , MA",FALSE
"14",14,36.1473,-86.777,"Nashville , TN",FALSE
"15",15,41.3807,-73.3915,"Bethel , CT",FALSE
"16",16,40.7148,-73.7939,"Jamaica , NY",FALSE
"18",18,43.4312,-83.9337,"Saginaw , MI",FALSE
"19",19,37.3239,-121.9144,"San Jose , CA",FALSE
"20",20,42.753,-71.0861,"Haverhill , MA",FALSE
"22",22,41.9288,-87.6315,"Chicago , IL",FALSE
"23",23,37.5858,-77.4888,"Richmond , VA",FALSE
"24",24,40.4981,-74.5245,"Somerset , NJ",FALSE
"25",25,39.4611,-83.8172,"Wilmington , OH",FALSE
"27",27,33.2542,-96.6863,"Mckinney , TX",FALSE
"28",28,30.5174,-97.6304,"Round Rock , TX",FALSE
"30",30,42.3295,-83.1908,"Dearborn , MI",FALSE
"34",34,40.7235,-73.8612,"Rego Park , NY",FALSE
"35",35,40.8483,-73.9725,"Fort Lee , NJ",FALSE
"36",36,40.7482,-73.9068,"Woodside , NY",FALSE
"37",37,40.6934,-75.4712,"Lehigh Valley , PA",FALSE
"38",38,39.1626,-76.6316,"Glen Burnie , MD",FALSE
"39",39,42.3496,-71.0746,"Boston , MA",FALSE
"40",40,37.0627,-76.4052,"Hampton , VA",FALSE
"41",41,33.0958,-117.2721,"Carlsbad , CA",FALSE
"42",42,39.9524,-75.1653,"Philadelphia , PA",FALSE
"44",44,41.0821,-73.6636,"Greenwich , CT",FALSE
"45",45,39.2904,-76.6122,"Baltimore , MD",FALSE
"46",46,33.0735,-96.9032,"The Colony , TX",FALSE
"47",47,40.8767,-74.2974,"Fairfield , NJ",FALSE
"48",48,35.9216,-77.7315,"Rocky Mount , NC",FALSE
"50",50,38.9599,-77.3428,"Reston , VA",FALSE
"51",51,40.1071,-82.8981,"Westerville , OH",FALSE
"52",52,29.8729,-98.014,"San Marcos , TX",FALSE
"53",53,30.2058,-97.8002,"Austin , TX",FALSE
"55",55,39.793,-86.2853,"Indianapolis , IN",FALSE
"57",57,33.3233,-111.8244,"Chandler , AZ",FALSE
"58",58,40.5918,-74.705,"Somerville , NJ",FALSE
"60",60,40.1576,-75.2757,"Blue Bell , PA",FALSE
"61",61,41.2563,-89.222,"Granville , IL",FALSE
"62",62,34.0607,-118.4032,"Beverly Hills , CA",FALSE
"63",63,39.0649,-76.9798,"Silver Spring , MD",FALSE
"64",64,42.1759,-88.4608,"Huntley , IL",FALSE
"65",65,44.4235,-73.0854,"Williston , VT",FALSE
"66",66,32.7825,-96.8207,"Dallas , TX",FALSE
"67",67,26.4095,-80.0942,"Boca Raton , FL",FALSE
"68",68,42.8541,-70.9521,"Amesbury , MA",FALSE
"69",69,40.4835,-74.4432,"New Brunswick , NJ",FALSE
"70",70,34.0396,-118.2661,"Los Angeles , CA",FALSE
"71",71,40.5186,-74.3499,"Edison , NJ",FALSE
"72",72,38.9834,-74.9025,"Cape May , NJ",FALSE
"73",73,40.6766,-74.4202,"Berkeley Heights , NJ",FALSE
"74",74,42.6849,-73.8318,"Albany , NY",FALSE
"76",76,40.9028,-74.096,"Saddle Brook , NJ",FALSE
"77",77,40.5722,-74.4134,"South Plainfield , NJ",FALSE
"78",78,40.5692,-74.3157,"Iselin , NJ",FALSE
"79",79,40.6963,-73.6207,"Hempstead , NY",FALSE
"81",81,39.9757,-74.9439,"Moorestown , NJ",FALSE
"82",82,40.0178,-74.9449,"Riverside , NJ",FALSE
"83",83,37.017,-94.4933,"Joplin , MO",FALSE
"84",84,35.8896,-78.9244,"Durham , NC",FALSE
"85",85,39.8502,-75.1895,"Thorofare , NJ",FALSE
"86",86,32.9014,-117.2079,"San Diego , CA",FALSE
"87",87,35.1168,-80.7237,"Matthews , NC",FALSE
"88",88,41.6816,-72.9405,"Bristol , CT",FALSE
"89",89,35.185,-90.0936,"Memphis , TN",FALSE
"92",92,40.6981,-73.9571,"Brooklyn , NY",FALSE
"93",93,33.6383,-96.7245,"Sherman , TX",FALSE
"94",94,40.757,-73.5814,"Westbury , NY",FALSE
"96",96,40.0902,-75.3937,"King Of Prussia , PA",FALSE
"98",98,40.7548,-73.6018,"Uniondale , NY",FALSE
"99",99,42.37,-71.0812,"Cambridge , MA",FALSE
"100",100,25.9388,-80.2144,"Miami , FL",FALSE
"101",101,33.7011,-117.797,"Irvine , CA",FALSE
"102",102,39.8928,-82.9588,"Columbus , OH",FALSE
"103",103,40.7291,-74.0386,"Jersey City , NJ",FALSE
"105",105,41.0221,-83.6789,"Findlay , OH",FALSE
"106",106,42.5767,-70.9549,"Danvers , MA",FALSE
"107",107,41.2864,-72.7956,"Branford , CT",FALSE
"108",108,41.8195,-71.4107,"Providence , RI",FALSE
"109",109,42.403,-71.259,"Waltham , MA",FALSE
"110",110,42.6025,-71.0119,"Middleton , MA",FALSE
"111",111,42.3997,-71.0316,"Chelsea , MA",FALSE
"114",114,42.8135,-70.886,"Newburyport , MA",FALSE
"115",115,42.4878,-71.2764,"Bedford , MA",FALSE
"116",116,43.4836,-124.1633,"North Bend , OR",FALSE
"117",117,42.1556,-71.4268,"Medway , MA",FALSE
"118",118,40.8424,-73.8556,"Bronx , NY",FALSE
"119",119,42.4897,-71.1595,"Woburn , MA",FALSE
"120",120,40.3965,-74.1075,"Middletown , NJ",FALSE
"121",121,42.2451,-71.184,"Dedham , MA",FALSE
"122",122,42.6723,-71.0837,"North Andover , MA",FALSE
"123",123,43.5645,-71.482,"Laconia , NH",FALSE
"124",124,42.8374,-71.0121,"Merrimac , MA",FALSE
"125",125,43.0347,-76.0729,"Syracuse , NY",FALSE
"127",127,32.9603,-96.83,"Addison , TX",FALSE
"128",128,42.1508,-70.8228,"Norwell , MA",FALSE
"130",130,44.0845,-70.1696,"Lewiston , ME",FALSE
"134",134,42.5051,-71.2047,"Burlington , MA",FALSE
"135",135,42.3955,-71.1816,"Belmont , MA",FALSE
"136",136,45.5222,-122.8593,"Beaverton , OR",FALSE
"137",137,42.3722,-71.1787,"Watertown , MA",FALSE
"140",140,33.5368,-97.9683,"Bowie , TX",FALSE
"141",141,40.7684,-74.4942,"Morristown , NJ",FALSE
"142",142,38.8749,-77.0325,"Washington , DC",FALSE
"144",144,40.5453,-74.1786,"Staten Island , NY",FALSE
"145",145,40.2216,-75.238,"North Wales , PA",FALSE
"147",147,42.6465,-83.3554,"Waterford , MI",FALSE
"148",148,42.7042,-84.4098,"Okemos , MI",FALSE
"150",150,40.5345,-84.6289,"Celina , OH",FALSE
"152",152,44.7467,-93.5004,"Shakopee , MN",FALSE
"153",153,27.9839,-82.7181,"Clearwater , FL",FALSE
"154",154,41.2079,-96.1183,"Omaha , NE",FALSE
"155",155,40.752,-75.0072,"Washington , NJ",FALSE
"157",157,33.9753,-80.461,"Shaw A F B , SC",FALSE
"158",158,37.3885,-122.0741,"Mountain View , CA",FALSE
"159",159,34.4018,-85.7095,"Fort Payne , AL",FALSE
"160",160,35.5153,-79.2007,"Sanford , NC",FALSE
"161",161,32.8795,-96.9398,"Irving , TX",FALSE
"163",163,44.7805,-85.7289,"Traverse City , MI",FALSE
"164",164,35.6767,-81.385,"Hickory , NC",FALSE
"166",166,33.8477,-84.2814,"Atlanta , GA",FALSE
"168",168,42.2935,-84.7509,"Albion , MI",FALSE
"169",169,41.6834,-86.25,"South Bend , IN",FALSE
"171",171,42.6981,-87.9389,"Sturtevant , WI",FALSE
"172",172,40.7924,-86.3798,"Logansport , IN",FALSE
"173",173,33.7818,-117.3317,"Perris , CA",FALSE
"174",174,47.5013,-122.0065,"Issaquah , WA",FALSE
"175",175,38.2075,-83.3989,"Morehead , KY",FALSE
"176",176,42.4655,-82.9013,"Saint Clair Shores , MI",FALSE
"178",178,42.9757,-83.6628,"Burton , MI",FALSE
"180",180,47.7528,-96.5563,"Crookston , MN",FALSE
"181",181,32.5814,-83.6286,"Warner Robins , GA",FALSE
"182",182,38.9348,-77.2672,"Vienna , VA",FALSE
"184",184,29.5142,-95.1903,"Friendswood , TX",FALSE
"185",185,45.0059,-93.4305,"Minneapolis , MN",FALSE
"186",186,42.5452,-75.5588,"Norwich , NY",FALSE
"187",187,41.6327,-93.7374,"Urbandale , IA",FALSE
"188",188,44.0537,-88.7916,"Omro , WI",FALSE
"190",190,34.9286,-118.4052,"Rosamond , CA",FALSE
"191",191,41.8637,-94.1113,"Perry , IA",FALSE
"192",192,45.0101,-93.1519,"Saint Paul , MN",FALSE
"193",193,35.2006,-101.821,"Amarillo , TX",FALSE
"194",194,37.9708,-87.4897,"Evansville , IN",FALSE
"195",195,42.4753,-83.2845,"Southfield , MI",FALSE
"196",196,38.6712,-88.4973,"Flora , IL",FALSE
